username;community;account_type;in_degree;out_degree
2af0cae725;6;grassroot;0;2
404a8ac67a;6;grassroot;67;0
abc0dbac20;44;grassroot;0;1
d557891ff4;44;grassroot;1;0
e8ed77296d;45;grassroot;0;1
f1c70b7cf0;45;grassroot;1;0
7b21876996;7;grassroot;0;1
0402aa41fd;7;grassroot;8;0
b162dd5f8c;46;grassroot;0;1
e045935a25;46;grassroot;1;0
0a76431639;10;grassroot;0;1
e015521c3c;47;grassroot;0;1
152090dd9c;47;grassroot;1;0
53ee613ff3;48;grassroot;0;2
80716a4630;48;grassroot;1;0
9bc1ef4984;48;grassroot;1;0
9657e28dd9;3;grassroot;0;1
863a400c6e;7;grassroot;0;2
84b971215a;7;grassroot;1;0
7b52f67f05;2;grassroot;0;1
0d0b70b144;11;grassroot;0;2
20c7976e01;11;grassroot;3;0
681e0554a5;7;grassroot;0;11
0042e2e6db;11;grassroot;10;0
713d1944a8;7;grassroot;1;1
81b3b4d922;49;elite/political;3;0
a335fdf024;9;grassroot;27;1
92c1fe3f62;24;grassroot;30;0
7fdbbf66ce;10;grassroot;28;0
8e8922802a;7;media/news;2;0
0fa1636ee8;2;media/news;70;3
b040c53c21;50;grassroot;3;1
f6f44f1efc;50;grassroot;1;0
59df5f55fa;51;grassroot;3;2
83b90f4e0c;51;grassroot;5;58
73e708b1cf;51;grassroot;3;2
fb3afd5b5e;51;grassroot;7;0
0574f94541;51;grassroot;7;0
3943420fdb;51;grassroot;6;0
4d907001d9;51;grassroot;1;0
408fcf6926;51;grassroot;7;0
2084171e97;51;grassroot;7;0
9b405af3d6;51;grassroot;7;0
b925e0a9d9;51;grassroot;10;0
9a71004a9e;51;grassroot;1;0
08c62ce1f4;51;grassroot;6;50
c174493424;51;grassroot;7;0
f6f65674e3;51;grassroot;7;0
9c03733dfd;51;grassroot;7;0
620ae51c8c;51;grassroot;9;0
41e8c21a83;51;grassroot;1;12
d516e9b502;51;grassroot;7;0
7b22dfc2e8;51;grassroot;1;0
5739872925;51;grassroot;7;0
6e2f2ba5d6;51;grassroot;6;0
73e5114eb0;51;grassroot;7;0
28504ae8a8;51;grassroot;2;0
78d1f43f16;51;grassroot;6;0
b9b1affcf3;51;grassroot;1;0
212126f3ec;51;grassroot;7;3
a4370bd976;51;grassroot;1;0
d57345cc22;51;grassroot;1;0
ed66cf6147;51;grassroot;1;0
fa1f722165;51;grassroot;6;0
f929c8ef09;51;grassroot;1;0
7f025921be;51;grassroot;6;0
74dd5f7d96;9;grassroot;29;0
8d4e6d0306;51;grassroot;6;4
cf9a7f3883;51;grassroot;6;0
7a626e505f;51;grassroot;3;2
139284a52e;51;grassroot;1;6
9f0232006d;51;grassroot;1;0
e33cfd661b;51;grassroot;7;0
d58dfba7a3;51;grassroot;7;0
60f0d19751;51;grassroot;6;1
453f1e93a7;51;grassroot;3;2
ca233ff170;51;grassroot;8;2
4b88935520;51;grassroot;7;0
d834b14d90;51;grassroot;2;50
32e13b72ce;51;grassroot;7;0
ce4424b8b7;51;grassroot;7;0
2905a2905b;51;grassroot;7;0
f7e55803a8;51;grassroot;7;0
f57fd9b25c;51;grassroot;12;0
b698d61e04;51;grassroot;7;0
d31a8b5d3c;51;grassroot;7;0
b114bd6860;51;grassroot;6;0
d1bc1887cd;51;grassroot;6;0
156282335d;51;grassroot;7;0
7568a708a0;51;grassroot;9;51
a282074497;51;grassroot;1;0
efd0174103;51;grassroot;7;0
0533681399;51;grassroot;4;3
09ebd87dd5;13;grassroot;0;3
abf9f90056;13;grassroot;27;0
cefb6a20fa;13;grassroot;2;3
fc16c34032;43;grassroot;1;6
069ed44f29;13;grassroot;1;0
091bf9270a;2;elite/political;7;0
e26bca24c5;43;grassroot;27;1
3d60a3611d;43;grassroot;8;0
0151d435a4;43;grassroot;7;0
8e8859e049;2;elite/political;14;0
6ebe8980e0;2;grassroot;6;0
6efcd87760;7;grassroot;3;3
3dbeccac3c;12;grassroot;0;1
b4e19522e5;12;grassroot;26;0
15b37b0aa3;2;grassroot;0;1
acf1dc7d80;11;grassroot;0;6
7c87362f20;11;grassroot;1;3
bcdfbc6e1d;11;grassroot;5;0
2e35b14f09;11;grassroot;85;0
4f53b0705a;11;grassroot;1;0
216d1c81ba;14;grassroot;0;1
8dd6acdfed;14;grassroot;22;0
842fc57dbd;54;grassroot;0;8
0e344837d2;54;grassroot;1;0
7e229a972c;54;grassroot;1;4
0d4ced4371;54;grassroot;3;4
6b921e4b8e;54;grassroot;3;0
f290e08e9c;3;media/news;153;0
55958822fb;54;grassroot;1;0
f42d4746e8;2;media/news;26;0
c7c452e835;54;grassroot;1;0
bdc74ec078;54;grassroot;1;3
8586d8322f;54;grassroot;2;0
4f3c3a55fc;54;grassroot;1;17
9f9a2473c1;5;grassroot;0;3
595d58924e;5;media/news;21;0
10418cd8f7;5;grassroot;1;0
7bc37db46a;55;grassroot;0;1
14a00612d0;55;grassroot;1;0
54427667ee;56;grassroot;0;1
4401578d52;56;grassroot;2;0
e5fcc01750;10;grassroot;0;1
8a55597443;57;grassroot;0;1
03e1e62c87;57;grassroot;1;0
2f92f6ab8d;2;grassroot;0;3
2fa646ac01;16;grassroot;1;3
e6887feac7;16;grassroot;1;1
5b2a86314a;2;grassroot;0;2
bfe854cbd5;2;grassroot;2;7
c02f932c49;2;grassroot;27;0
c2f2bc9653;2;elite/political;22;0
611cf976e2;58;grassroot;0;2
567f5ed22d;58;grassroot;49;0
8f39ecf53e;58;grassroot;1;0
87a0b4c2b2;59;grassroot;0;1
31e1c8ee69;59;grassroot;1;0
f69c70b259;60;grassroot;0;1
be6166d442;60;grassroot;1;0
98447a995f;61;grassroot;0;2
83b4aac697;61;grassroot;1;0
