community,size,grassroot,media_news,elite_political,top_node,top_node_in_degree
947,3,3,0,0,437b22815f,1
950,3,3,0,0,551ae2715d,1
952,3,3,0,0,9cd988cba7,1
959,3,3,0,0,0ad3f78d33,1
960,3,3,0,0,1c67546e66,1
976,3,3,0,0,750f2e0c3a,1
984,3,3,0,0,b1ccbb4caf,2
988,3,3,0,0,fa8efb156e,1
992,3,3,0,0,6c5b322b03,1
995,3,3,0,0,03d62ee66f,1
1011,3,3,0,0,f04ae69bf2,2
1017,3,3,0,0,b6c864c6fa,1
1025,3,3,0,0,1a0d236c5b,1
1035,3,3,0,0,5382ad072b,1
1036,3,3,0,0,ecf00a49f1,1
1038,3,3,0,0,9cd8504ea3,1
1041,3,3,0,0,5d2eb98dea,1
1050,3,3,0,0,59e0152557,1
1052,3,3,0,0,4b49d4f94d,1
1060,3,3,0,0,322d05ac48,2
1065,3,3,0,0,aa889c5134,1
1068,3,3,0,0,781ad95ff8,1
1078,3,3,0,0,bd78cad6d3,2
1083,3,3,0,0,943d40550d,1
1106,3,3,0,0,50de3c7450,1
1110,3,3,0,0,7e40f7dc14,1
1112,3,3,0,0,b3b80b6931,2
1115,3,3,0,0,355c80ff0c,1
1130,3,3,0,0,40d1f4852f,1
1142,3,3,0,0,a79123900b,1
1148,3,3,0,0,afb39b28c6,2
1149,3,3,0,0,8ba2dc2723,1
1151,3,3,0,0,85dcbd83a7,1
1154,3,3,0,0,9c8df14400,1
1159,3,3,0,0,bdc9d50676,1
1161,3,3,0,0,6071d5ad91,1
1162,3,3,0,0,afcd04a6dd,1
1172,3,3,0,0,abd2040be2,1
1183,3,3,0,0,354d675649,1
1188,3,3,0,0,71b18735cd,1
1189,3,3,0,0,fe186b5499,2
1203,3,3,0,0,cf8009da2b,1
1209,3,3,0,0,373da6af15,1
1216,3,3,0,0,4a4dc7be36,1
1222,3,3,0,0,a1a46cf5b5,1
1224,3,3,0,0,56de8c9907,1
1238,3,3,0,0,2f17908173,2
1252,3,3,0,0,2155218abc,1
1256,3,3,0,0,17c355bbca,1
1266,3,3,0,0,f8afd54537,1
1270,3,3,0,0,5c367b24db,2
1272,3,3,0,0,eef1ef525b,1
1277,3,3,0,0,9301494825,1
1279,3,3,0,0,66d4407cdc,1
1281,3,3,0,0,9b399ae994,2
1286,3,3,0,0,18ae863677,1
1289,3,3,0,0,dba210ee8e,1
1296,3,3,0,0,983f9bdc8d,1
1305,3,3,0,0,2a6ed899f7,1
1306,3,3,0,0,2755f50ceb,2
1308,3,3,0,0,7b390189b1,2
1312,3,3,0,0,4bcb6c0097,1
1321,3,3,0,0,fc2c5b4ae6,1
1338,3,3,0,0,a467a43f15,1
1346,3,3,0,0,90ca3e0a3b,1
1352,3,3,0,0,e370f3d6ea,1
1359,3,3,0,0,4aa959d2c2,1
1366,3,2,0,1,b9d22d409a,1
1376,3,3,0,0,88ea6cf117,1
1395,3,3,0,0,5bc894c1c8,1
1399,3,3,0,0,f89f4b6e92,1
1415,3,3,0,0,99efb8cdf7,1
1420,3,3,0,0,42a7d05c95,1
1423,3,3,0,0,d2c4be32e0,1
1427,3,3,0,0,3397332b41,1
1432,3,3,0,0,a3a2601f5c,1
1439,3,3,0,0,3d2614f83f,1
1444,3,3,0,0,2ad3c8162d,1
1449,3,3,0,0,dbbea8554f,2
1471,3,2,1,0,234330834c,1
1491,3,3,0,0,58cc83f5b8,1
1496,3,3,0,0,363caceede,1
1498,3,3,0,0,9e9dec3736,1
1502,3,3,0,0,88c76cf946,1
1516,3,3,0,0,82df736e39,1
1523,3,3,0,0,72e0811983,1
1528,3,3,0,0,ac53eaa244,1
1530,3,3,0,0,4fd1b9cf3d,1
1531,3,3,0,0,1da019b88a,1
1555,3,3,0,0,f7a04a75c8,1
1567,3,3,0,0,2db5f5a64f,1
1571,3,3,0,0,6242c5aa49,1
1572,3,3,0,0,3a7ca4131a,1
1577,3,3,0,0,da567e6544,1
1579,3,3,0,0,faaa535e59,1
1592,3,3,0,0,e3c17b4725,1
1599,3,3,0,0,6c5f27d3d0,1
1605,3,3,0,0,be8b5388fc,1
1612,3,3,0,0,9d5bb453ed,1
1614,3,3,0,0,ff191c09e7,1
1615,3,3,0,0,534b7e5627,1
1616,3,3,0,0,58b84aa56e,1
1618,3,3,0,0,727e06c289,1
1620,3,3,0,0,338edee884,1
1624,3,3,0,0,032999fd80,1
1629,3,3,0,0,ecefc2049f,1
1645,3,3,0,0,0117a18dad,2
1652,3,3,0,0,76ad4b89fd,1
1655,3,3,0,0,bfd415c860,1
1662,3,3,0,0,59754fa432,1
99,3,3,0,0,43ce4875d9,1
17,2,2,0,0,6d5482c4cb,1
